iter	Passed	Remaining
0	69	69708
1	81	40542
2	93	31041
3	104	25918
4	114	22824
5	126	20893
6	136	19389
7	147	18283
8	158	17435
9	168	16706
10	179	16175
11	188	15534
12	199	15110
13	210	14835
14	222	14603
15	233	14333
16	243	14101
17	252	13799
18	264	13650
19	275	13498
20	285	13297
21	295	13154
22	307	13064
23	318	12947
24	329	12845
25	340	12752
26	351	12654
27	362	12576
28	374	12525
29	385	12451
30	397	12437
31	407	12318
32	417	12222
33	426	12125
34	438	12082
35	449	12042
36	460	11977
37	469	11889
38	479	11827
39	490	11763
40	501	11722
41	512	11698
42	525	11701
43	535	11625
44	544	11547
45	554	11496
46	564	11452
47	575	11408
48	588	11419
49	599	11390
50	609	11349
51	619	11288
52	629	11242
53	640	11224
54	650	11180
55	661	11153
56	672	11129
57	682	11090
58	692	11048
59	702	11006
60	713	10985
61	724	10958
62	734	10931
63	745	10902
64	756	10886
65	766	10842
66	775	10792
67	784	10745
68	794	10715
69	804	10692
70	824	10783
71	833	10748
72	843	10714
73	854	10694
74	866	10681
75	875	10650
76	885	10618
77	894	10569
78	906	10567
79	917	10548
80	926	10509
81	936	10483
82	946	10454
83	955	10424
84	968	10422
85	978	10398
86	988	10369
87	998	10351
88	1008	10324
89	1018	10296
90	1028	10272
91	1038	10247
92	1048	10224
93	1058	10204
94	1069	10187
95	1080	10176
96	1091	10162
97	1103	10155
98	1113	10137
99	1122	10105
100	1131	10075
101	1142	10055
102	1152	10036
103	1162	10011
104	1172	9992
105	1181	9961
106	1190	9938
107	1201	9922
108	1212	9909
109	1222	9890
110	1242	9951
111	1256	9965
112	1279	10042
113	1309	10176
114	1321	10167
115	1331	10143
116	1339	10112
117	1350	10096
118	1361	10077
119	1370	10051
120	1380	10028
121	1389	10000
122	1400	9982
123	1408	9950
124	1420	9942
125	1430	9919
126	1442	9914
127	1453	9898
128	1461	9869
129	1470	9841
130	1483	9840
131	1494	9826
132	1504	9805
133	1513	9781
134	1522	9756
135	1533	9742
136	1543	9722
137	1553	9705
138	1563	9686
139	1574	9670
140	1591	9693
141	1608	9720
142	1621	9715
143	1631	9699
144	1642	9682
145	1652	9663
146	1662	9647
147	1672	9625
148	1681	9603
149	1691	9583
150	1701	9567
151	1712	9552
152	1722	9535
153	1733	9521
154	1745	9516
155	1754	9490
156	1764	9474
157	1773	9450
158	1783	9433
159	1793	9416
160	1804	9401
161	1814	9385
162	1824	9367
163	1834	9353
164	1845	9338
165	1854	9317
166	1865	9303
167	1875	9289
168	1886	9277
169	1896	9261
170	1909	9257
171	1919	9241
172	1928	9221
173	1938	9201
174	1949	9188
175	1957	9166
176	1968	9152
177	1978	9136
178	1987	9117
179	1997	9101
180	2007	9084
181	2017	9068
182	2029	9061
183	2040	9048
184	2050	9032
185	2059	9014
186	2070	9003
187	2080	8986
188	2089	8966
189	2099	8950
190	2110	8939
191	2121	8927
192	2130	8909
193	2141	8899
194	2152	8883
195	2161	8866
196	2173	8860
197	2183	8845
198	2193	8830
199	2204	8818
200	2213	8798
201	2222	8780
202	2233	8767
203	2243	8755
204	2254	8741
205	2263	8725
206	2274	8711
207	2284	8697
208	2294	8683
209	2303	8666
210	2316	8661
211	2325	8643
212	2336	8633
213	2346	8619
214	2357	8606
215	2369	8601
216	2378	8583
217	2389	8570
218	2399	8558
219	2410	8545
220	2420	8530
221	2430	8515
222	2440	8502
223	2450	8488
224	2462	8480
225	2470	8462
226	2479	8445
227	2490	8431
228	2500	8418
229	2510	8403
230	2519	8386
231	2529	8373
232	2540	8361
233	2551	8351
234	2560	8335
235	2571	8325
236	2582	8313
237	2592	8299
238	2603	8288
239	2613	8275
240	2623	8261
241	2634	8251
242	2646	8243
243	2656	8232
244	2667	8219
245	2677	8205
246	2687	8192
247	2696	8175
248	2706	8162
249	2716	8150
250	2727	8140
251	2737	8126
252	2749	8119
253	2760	8108
254	2769	8092
255	2781	8082
256	2791	8071
257	2801	8057
258	2811	8043
259	2822	8032
260	2832	8020
261	2842	8006
262	2852	7994
263	2860	7975
264	2869	7959
265	2890	7975
266	2907	7981
267	2919	7974
268	2930	7963
269	2943	7957
270	2953	7945
271	2964	7933
272	2974	7920
273	2984	7907
274	2994	7894
275	3003	7878
276	3013	7866
277	3022	7850
278	3034	7842
279	3046	7833
280	3059	7827
281	3070	7817
282	3079	7803
283	3088	7786
284	3099	7776
285	3111	7766
286	3122	7756
287	3133	7746
288	3144	7736
289	3155	7724
290	3166	7715
291	3177	7705
292	3188	7693
293	3198	7681
294	3212	7676
295	3222	7663
296	3236	7661
297	3250	7656
298	3264	7652
299	3274	7641
300	3285	7630
301	3296	7619
302	3305	7604
303	3315	7589
304	3325	7578
305	3336	7566
306	3345	7550
307	3355	7539
308	3368	7533
309	3380	7523
310	3391	7512
311	3401	7499
312	3412	7490
313	3423	7478
314	3433	7467
315	3444	7455
316	3454	7442
317	3463	7428
318	3473	7416
319	3483	7401
320	3493	7389
321	3504	7379
322	3517	7372
323	3529	7364
324	3540	7353
325	3550	7341
326	3562	7331
327	3573	7320
328	3583	7309
329	3593	7296
330	3602	7281
331	3613	7271
332	3624	7260
333	3635	7249
334	3646	7238
335	3657	7227
336	3669	7218
337	3680	7208
338	3693	7201
339	3706	7194
340	3716	7182
341	3725	7167
342	3735	7154
343	3745	7142
344	3754	7128
345	3765	7117
346	3776	7107
347	3787	7095
348	3796	7081
349	3808	7072
350	3821	7065
351	3832	7056
352	3845	7047
353	3855	7035
354	3865	7023
355	3875	7010
356	3884	6996
357	3896	6988
358	3907	6977
359	3919	6968
360	3930	6957
361	3941	6946
362	3950	6932
363	3961	6921
364	3973	6913
365	3984	6901
366	3994	6889
367	4004	6878
368	4016	6867
369	4028	6858
370	4038	6846
371	4049	6835
372	4060	6825
373	4071	6815
374	4082	6803
375	4092	6791
376	4101	6778
377	4113	6769
378	4126	6761
379	4135	6747
380	4145	6735
381	4156	6724
382	4166	6711
383	4176	6699
384	4186	6687
385	4195	6673
386	4207	6663
387	4216	6650
388	4226	6639
389	4237	6628
390	4247	6615
391	4257	6603
392	4270	6595
393	4280	6584
394	4291	6572
395	4300	6559
396	4310	6546
397	4320	6535
398	4332	6526
399	4343	6515
400	4354	6505
401	4364	6492
402	4374	6480
403	4384	6467
404	4394	6456
405	4406	6447
406	4417	6436
407	4428	6425
408	4440	6415
409	4448	6401
410	4458	6389
411	4469	6378
412	4480	6367
413	4489	6354
414	4499	6342
415	4510	6332
416	4521	6320
417	4531	6308
418	4541	6298
419	4553	6288
420	4566	6279
421	4576	6268
422	4587	6257
423	4597	6245
424	4608	6234
425	4619	6223
426	4629	6211
427	4639	6200
428	4649	6188
429	4659	6176
430	4670	6166
431	4682	6156
432	4693	6145
433	4705	6136
434	4722	6133
435	4734	6124
436	4744	6112
437	4755	6101
438	4765	6089
439	4774	6077
440	4784	6064
441	4794	6053
442	4804	6040
443	4814	6029
444	4825	6017
445	4835	6006
446	4845	5994
447	4856	5983
448	4869	5975
449	4881	5966
450	4891	5954
451	4901	5943
452	4911	5930
453	4921	5918
454	4932	5908
455	4948	5903
456	4959	5892
457	4970	5882
458	4981	5871
459	4990	5858
460	5000	5846
461	5011	5835
462	5026	5829
463	5039	5821
464	5053	5814
465	5064	5803
466	5073	5791
467	5084	5779
468	5094	5767
469	5105	5757
470	5116	5746
471	5127	5736
472	5139	5725
473	5150	5715
474	5161	5705
475	5174	5696
476	5187	5687
477	5198	5676
478	5208	5665
479	5220	5655
480	5231	5645
481	5242	5633
482	5253	5623
483	5264	5612
484	5275	5602
485	5285	5589
486	5296	5579
487	5307	5568
488	5317	5556
489	5327	5545
490	5339	5535
491	5351	5525
492	5360	5512
493	5370	5501
494	5380	5489
495	5390	5476
496	5401	5466
497	5410	5453
498	5420	5442
499	5431	5431
500	5443	5421
501	5453	5409
502	5463	5398
503	5474	5387
504	5487	5378
505	5498	5367
506	5509	5357
507	5518	5344
508	5529	5333
509	5540	5323
510	5551	5312
511	5562	5302
512	5572	5290
513	5583	5279
514	5592	5267
515	5602	5255
516	5615	5245
517	5628	5236
518	5640	5227
519	5651	5217
520	5661	5204
521	5672	5193
522	5682	5183
523	5692	5171
524	5702	5159
525	5711	5146
526	5720	5134
527	5731	5124
528	5741	5112
529	5751	5100
530	5764	5091
531	5773	5079
532	5785	5068
533	5795	5057
534	5806	5046
535	5815	5034
536	5826	5023
537	5836	5012
538	5848	5002
539	5859	4991
540	5869	4980
541	5881	4969
542	5891	4958
543	5900	4945
544	5910	4934
545	5922	4924
546	5934	4914
547	5944	4902
548	5952	4890
549	5962	4878
550	5971	4866
551	5981	4854
552	5992	4844
553	6003	4833
554	6013	4821
555	6024	4810
556	6034	4799
557	6043	4787
558	6053	4775
559	6062	4763
560	6074	4753
561	6083	4740
562	6091	4728
563	6101	4716
564	6110	4704
565	6121	4693
566	6131	4682
567	6141	4671
568	6156	4663
569	6166	4652
570	6178	4641
571	6189	4631
572	6198	4619
573	6208	4608
574	6220	4597
575	6230	4586
576	6240	4575
577	6250	4563
578	6261	4553
579	6274	4543
580	6285	4532
581	6295	4521
582	6306	4510
583	6316	4499
584	6326	4488
585	6338	4477
586	6347	4466
587	6360	4456
588	6379	4451
589	6391	4441
590	6402	4430
591	6412	4419
592	6423	4408
593	6433	4397
594	6443	4386
595	6452	4373
596	6463	4362
597	6472	4350
598	6482	4339
599	6493	4328
600	6503	4317
601	6514	4306
602	6526	4296
603	6536	4285
604	6545	4273
605	6557	4263
606	6571	4254
607	6589	4248
608	6599	4237
609	6610	4226
610	6621	4215
611	6634	4206
612	6646	4196
613	6661	4188
614	6679	4181
615	6691	4171
616	6708	4164
617	6719	4153
618	6728	4141
619	6738	4130
620	6749	4119
621	6760	4108
622	6770	4097
623	6781	4086
624	6792	4075
